rank,uri,artist_names,artist_names_1,artist_names_2,artist_names_3,artist_names_4,artist_names_5,artist_names_6,artist_names_7,artist_names_8,artist_names_9,artist_names_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week
40,spotify:track:0XySogm94T51XF5F2jumXm,Juice WRLD,Juice WRLD,,,,,,,,,,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,54,25,3807814,Autumn,October,1
41,spotify:track:01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Morph,Fueled By Ramen,41,-1,1,3768513,Autumn,October,1
42,spotify:track:29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,Juice WRLD,,,,,,,,,,Lean Wit Me,Juice WRLD Mixtape / ISR P&D,28,57,20,3758340,Autumn,October,1
43,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,XXXTENTACION,,,,,,,,,,changes,"Bad Vibes Forever, LLC",7,58,32,3750731,Autumn,October,1
44,spotify:track:1jo3TwNGCXfNdB5uba3ZVv,Eminem,Eminem,,,,,,,,,,Killshot,Aftermath,22,41,3,3722824,Autumn,October,1
45,spotify:track:3JX0dOCIAiaR8MP3ryXWuM,"Lil Wayne, Sosamann",Lil Wayne,Sosamann,,,,,,,,,What About Me (feat. Sosamann),"Young Money Records, Inc.",9,9,2,3706796,Autumn,October,1
46,spotify:track:6PoKfDY78ih5OveWirggRX,"Lil Baby, Gunna, Lil Durk, NAV",Lil Baby,Gunna,Lil Durk,NAV,,,,,,,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",46,-1,1,3658595,Autumn,October,1
47,spotify:track:5cGpjfgAvidLy6znwkCxkP,Lil Wayne,Lil Wayne,,,,,,,,,,Can't Be Broken,"Young Money Records, Inc.",6,6,2,3563492,Autumn,October,1
48,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Post Malone,Ty Dolla $ign,,,,,,,,,Psycho (feat. Ty Dolla $ign),Republic Records,2,62,33,3538501,Autumn,October,1
49,spotify:track:4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Imagine Dragons,,,,,,,,,,Natural,Kid Ina Korner / Interscope,28,55,12,3512406,Autumn,October,1
50,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,5 Seconds of Summer,,,,,,,,,,Youngblood,Capitol,17,61,26,3381469,Autumn,October,1
51,spotify:track:23OXdR7YuUBVWh5hSnYJau,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Chlorine,Fueled By Ramen,51,-1,1,3372890,Autumn,October,1
52,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,Drake,,,,,,,,,,God's Plan,Cash Money/Drake LP6,1,64,38,3346414,Autumn,October,1
53,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",Post Malone,21 Savage,,,,,,,,,rockstar (feat. 21 Savage),Republic Records,1,69,56,3337940,Autumn,October,1
54,spotify:track:7wBJfHzpfI3032CSD7CE2m,Travis Scott,Travis Scott,,,,,,,,,,STARGAZING,Cactus Jack / Epic / Grand Hustle,3,52,10,3299258,Autumn,October,1
55,spotify:track:3obgSF06ki98lYNLNq5vCB,"Juice WRLD, Lil Uzi Vert",Juice WRLD,Lil Uzi Vert,,,,,,,,,Wasted (feat. Lil Uzi Vert),Juice WRLD Mixtape / ISR P&D,20,66,13,3249414,Autumn,October,1
56,spotify:track:7roKDmJDOzkpfGpUQJ5EnL,"Lil Baby, Gunna",Lil Baby,Gunna,,,,,,,,,Business Is Business (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",56,-1,1,3214788,Autumn,October,1
57,spotify:track:7noud145AHZGg74vpWOsCa,Ella Mai,Ella Mai,,,,,,,,,,Trip,10 Summers / Interscope PS,57,75,6,3204883,Autumn,October,1
58,spotify:track:5qHirGR7M9tdm6C17DlzSY,Amine,Amine,,,,,,,,,,REEL IT IN,Republic Records,58,76,5,3160827,Autumn,October,1
59,spotify:track:0UyljEbX9dqI1K0sqdv6B6,Joji,Joji,,,,,,,,,,SLOW DANCING IN THE DARK,88rising Music/Warner Records,29,65,4,3143020,Autumn,October,1
60,spotify:track:5HeKOKc4phmLn8e4I7EkzD,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,My Blood,Fueled By Ramen,60,-1,2,3135043,Autumn,October,1
61,spotify:track:5N5k9nd479b1xpDZ4usjrg,"Calvin Harris, Sam Smith, Jessie Reyez",Calvin Harris,Sam Smith,Jessie Reyez,,,,,,,,Promises (with Sam Smith),Columbia,19,77,8,3110537,Autumn,October,1
62,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Maroon 5,Cardi B,,,,,,,,,Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,8,72,19,3098487,Autumn,October,1
63,spotify:track:7lAK3oHbfEnvUQWosrMMpR,Travis Scott,Travis Scott,,,,,,,,,,YOSEMITE,Cactus Jack / Epic / Grand Hustle,7,67,10,3085436,Autumn,October,1
64,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Bazzi,Camila Cabello,,,,,,,,,Beautiful (feat. Camila Cabello),iamcosmic,30,73,10,3070137,Autumn,October,1
65,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,Post Malone,,,,,,,,,,I Fall Apart,Universal Records,2,81,56,3044571,Autumn,October,1
66,spotify:track:5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,Ariana Grande,,,,,,,,,,God is a woman,Republic Records,4,70,13,2950130,Autumn,October,1
67,spotify:track:2SL6oP2YAEQbqsrkOzRGO4,Eminem,Eminem,,,,,,,,,,Venom - Music From The Motion Picture,Aftermath,21,162,6,2947790,Autumn,October,1
68,spotify:track:0OgGn1ofaj55l2PcihQQGV,Bryce Vine,Bryce Vine,,,,,,,,,,Drew Barrymore,Sire,49,74,8,2934713,Autumn,October,1
69,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Drake,,,,,,,,,,Nice For What,Cash Money/Drake LP6,1,78,27,2917792,Autumn,October,1
70,spotify:track:4OafepJy2teCjYJbvFE60J,Ariana Grande,Ariana Grande,,,,,,,,,,breathin,Republic Records,5,60,8,2913866,Autumn,October,1
71,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",BlocBoy JB,Drake,,,,,,,,,Look Alive (feat. Drake),OVO Sound/Warner Records,3,82,35,2893439,Autumn,October,1
72,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,XXXTENTACION,,,,,,,,,,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,15,85,59,2863537,Autumn,October,1
73,spotify:track:1Jl21sidRpEdlVBvYbssLx,"Young Thug, Jaden",Young Thug,Jaden,,,,,,,,,Sin (feat. Jaden Smith),300 Entertainment/Atl,63,63,3,2857486,Autumn,October,1
74,spotify:track:7q8cy4uoA2itYATsKeXhcq,"Lil Pump, Lil Uzi Vert",Lil Pump,Lil Uzi Vert,,,,,,,,,Multi Millionaire (feat. Lil Uzi Vert),Warner Records,74,-1,1,2771259,Autumn,October,1
75,spotify:track:2uMTscYuCT3BZ0OCzH3MwN,Kodak Black,Kodak Black,,,,,,,,,,"If I'm Lyin', I'm Flyin'",Atlantic Records,43,43,2,2676579,Autumn,October,1
76,spotify:track:1gnwGVoG7V08vMX3hyr90x,"Anderson .Paak, Kendrick Lamar",Anderson .Paak,Kendrick Lamar,,,,,,,,,Tints (feat. Kendrick Lamar),"Aftermath/12 Tone Music, LLC",76,-1,1,2671030,Autumn,October,1
77,spotify:track:3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Dean Lewis,,,,,,,,,,Be Alright,Universal Music Australia Pty. Ltd.,31,88,11,2661309,Autumn,October,1
78,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Khalid,Normani,,,,,,,,,Love Lies (with Normani),RCA Records Label,9,92,34,2656574,Autumn,October,1
79,spotify:track:7ycWLEP1GsNjVvcjawXz3z,"A$AP Rocky, Skepta",A$AP Rocky,Skepta,,,,,,,,,Praise The Lord (Da Shine) (feat. Skepta),A$AP Worldwide/Polo Grounds Music/RCA Records,11,87,20,2629229,Autumn,October,1
80,spotify:track:05r1GGg1Rhs0RcUg27C82a,"Lil Wayne, Reginae Carter",Lil Wayne,Reginae Carter,,,,,,,,,Famous (feat. Reginae Carter),"Young Money Records, Inc.",17,17,2,2608294,Autumn,October,1
81,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",Billie Eilish,Khalid,,,,,,,,,lovely (with Khalid),Darkroom,24,93,25,2584187,Autumn,October,1
82,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,Mac Miller,,,,,,,,,,Self Care,Warner Records,10,80,7,2581507,Autumn,October,1
83,spotify:track:1yQvL8SzbF5JCroRKk9F07,"Lil Baby, Gunna",Lil Baby,Gunna,,,,,,,,,Belly (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",83,-1,1,2542224,Autumn,October,1
84,spotify:track:5N4erncE7kuUccm7zEmwzk,"Silk City, Dua Lipa, Diplo, Mark Ronson",Silk City,Dua Lipa,Diplo,Mark Ronson,,,,,,,Electricity (with Dua Lipa),Columbia,27,71,5,2533152,Autumn,October,1
85,spotify:track:5WvAo7DNuPRmk4APhdPzi8,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",DJ Khaled,Justin Bieber,Quavo,Chance the Rapper,,,,,,,No Brainer,Epic/We The Best,4,68,11,2525466,Autumn,October,1
86,spotify:track:5G6Gt9RtNaeIE418pd4yre,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Smithereens,Fueled By Ramen,86,-1,1,2522282,Autumn,October,1
87,spotify:track:1E1uGhNdBe6Dddbgs2KqtZ,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Jumpsuit,Fueled By Ramen,51,-1,4,2508905,Autumn,October,1
88,spotify:track:2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,XXXTENTACION,,,,,,,,,,Hope,"Bad Vibes Forever, LLC",28,99,22,2499738,Autumn,October,1
89,spotify:track:0sXvjZV7p4uvyPN4uQo3FH,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Neon Gravestones,Fueled By Ramen,89,-1,1,2496029,Autumn,October,1
90,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,Ariana Grande,,,,,,,,,,no tears left to cry,Republic Records,9,91,25,2491244,Autumn,October,1
91,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,Lil Uzi Vert,,,,,,,,,,XO Tour Llif3,Generation Now/Atlantic,2,102,81,2483940,Autumn,October,1
92,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Offset,Metro Boomin,,,,,,,,,Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,101,50,2471679,Autumn,October,1
93,spotify:track:3F57PtOdqRpD6euFYqtKXX,"Lil Baby, Gunna",Lil Baby,Gunna,,,,,,,,,I Am (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",93,-1,1,2456325,Autumn,October,1
94,spotify:track:5IvdLxVB8gwwcgnEkXSSW2,"Lil Wayne, Nicki Minaj",Lil Wayne,Nicki Minaj,,,,,,,,,Dark Side Of The Moon (feat. Nicki Minaj),"Young Money Records, Inc.",14,14,2,2454830,Autumn,October,1
95,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,Panic! At The Disco,,,,,,,,,,High Hopes,DCD2 / Fueled By Ramen,45,105,17,2444552,Autumn,October,1
96,spotify:track:5SehvGGC53A7SZKCLXQcyt,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Nico and the Niners,Fueled By Ramen,52,-1,6,2416759,Autumn,October,1
97,spotify:track:6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,XXXTENTACION,,,,,,,,,,Look At Me!,Bad Vibes Forever / EMPIRE,26,106,71,2403314,Autumn,October,1
98,spotify:track:33tNYw9oMtSkGe27NpgS64,Quavo,Quavo,,,,,,,,,,WORKIN ME,Quality Control Music/Motown Records/Capitol Records,40,104,9,2396626,Autumn,October,1
99,spotify:track:4mHgYpuGHu99Mw69E83CP2,Trippie Redd,Trippie Redd,,,,,,,,,,Taking A Walk,"TenThousand Projects, LLC",13,95,10,2395447,Autumn,October,1
100,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam,,,,,Te Bote - Remix,"2018 Flow La Movie, Inc.",42,103,26,2353925,Autumn,October,1
101,spotify:track:4UKCKdYiLN6IMA5ZESUTL7,XXXTENTACION,XXXTENTACION,,,,,,,,,,the remedy for a broken heart (why am I so in love),"Bad Vibes Forever, LLC",18,108,26,2345435,Autumn,October,1
102,spotify:track:7IBSffWIu7P2MC7kMwy2FM,"Wiz Khalifa, Swae Lee",Wiz Khalifa,Swae Lee,,,,,,,,,Hopeless Romantic (feat. Swae Lee),Taylor Gang/Atlantic,37,100,14,2313578,Autumn,October,1
103,spotify:track:2jt2WxXMCD4zjACthkJQVE,Eminem,Eminem,,,,,,,,,,The Ringer,Aftermath,2,90,6,2303872,Autumn,October,1
104,spotify:track:7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,The Hype,Fueled By Ramen,104,-1,1,2301068,Autumn,October,1
105,spotify:track:16QjPRt5HYK0dnLGmGRCvf,Lil Baby,Lil Baby,,,,,,,,,,Deep End (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",105,-1,1,2298984,Autumn,October,1
106,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,Rich The Kid,,,,,,,,,,Plug Walk,Rich The Kid / (TDE/ISR PS),7,114,35,2290946,Autumn,October,1
107,spotify:track:5a8RPWgKSmcGBGcffmIrUi,"Sia, Diplo, Labrinth, LSD",Sia,Diplo,Labrinth,LSD,,,,,,,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",Records/Columbia,50,98,9,2279045,Autumn,October,1
108,spotify:track:7oJrVhiTPZGBXWPwhxjy9S,Lil Skies,Lil Skies,,,,,,,,,,Lust,All We Got Ent.,79,112,37,2262528,Autumn,October,1
109,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,"Khalid, 6LACK, Ty Dolla $ign",Khalid,6LACK,Ty Dolla $ign,,,,,,,,OTW,"Right Hand Music Group, LLC/RCA Records",20,109,25,2248863,Autumn,October,1
110,spotify:track:2AwyHlbA6f641SEkizD5JG,"Lil Wayne, Snoop Dogg",Lil Wayne,Snoop Dogg,,,,,,,,,Dope Niggaz (feat. Snoop Dogg),"Young Money Records, Inc.",19,19,2,2239061,Autumn,October,1
111,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,Lauv,,,,,,,,,,I Like Me Better,Lauv,30,113,71,2219164,Autumn,October,1
112,spotify:track:2uBhGx3m5iJrtsql8Qk00j,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Levitate,Fueled By Ramen,112,-1,1,2213910,Autumn,October,1
113,spotify:track:0p0jvYdazuWBMC8QacxpUH,Gunna,Gunna,,,,,,,,,,World Is Yours (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",113,-1,1,2195079,Autumn,October,1
114,spotify:track:7ATATJztoWLcqDAcVVof0C,"6ix9ine, Anuel AA",6ix9ine,Anuel AA,,,,,,,,,BEBE,"Scumgang Records/TenThousand Projects, LLC",44,111,6,2183391,Autumn,October,1
115,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Ava Max,,,,,,,,,,Sweet but Psycho,Atlantic Records,115,-1,1,2151129,Autumn,October,1
116,spotify:track:4e4fqjx0Izh4svvTef1z7e,"Bebe Rexha, Florida Georgia Line",Bebe Rexha,Florida Georgia Line,,,,,,,,,Meant to Be (feat. Florida Georgia Line),Warner Bros.,16,119,57,2137112,Autumn,October,1
117,spotify:track:7daBwTiPNOVgoMUG4SICgh,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Pet Cheetah,Fueled By Ramen,117,-1,1,2101507,Autumn,October,1
118,spotify:track:2Yer0p7uB2lVBUAtANuuQp,"Social House, Lil Yachty",Social House,Lil Yachty,,,,,,,,,Magic In The Hamptons (feat. Lil Yachty),Silent Records / Social House,83,116,8,2096617,Autumn,October,1
119,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,"Post Malone, Quavo",Post Malone,Quavo,,,,,,,,,Congratulations,Universal Records,5,122,94,2096315,Autumn,October,1
120,spotify:track:6gFtgkh8ShkrJn52Cbdhxy,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Cut My Lip,Fueled By Ramen,120,-1,1,2083308,Autumn,October,1
121,spotify:track:2Am26UXisQ91vBLYdqd7Pa,"Lil Baby, Gunna",Lil Baby,Gunna,,,,,,,,,Underdog (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",121,-1,1,2075956,Autumn,October,1
122,spotify:track:4kWO6O1BUXcZmaxitpVUwp,"Tiësto, Dzeko, Preme, Post Malone",Tiësto,Dzeko,Preme,Post Malone,,,,,,,Jackie Chan,"Universal Music, a division of Universal International Music BV",18,115,21,2061349,Autumn,October,1
123,spotify:track:5INKIG4QNuD4xq7qZcfPzp,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,Bandito,Fueled By Ramen,123,-1,1,2026991,Autumn,October,1
124,spotify:track:6yz0Jndhv0QjKdpcEMbOjz,Trippie Redd,Trippie Redd,,,,,,,,,,Shake It Up,"TenThousand Projects, LLC",52,146,9,2019024,Autumn,October,1
125,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Khalid,,,,,,,,,,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",6,127,79,2010915,Autumn,October,1
126,spotify:track:1Knctxx9vGZxpZfF66BIEa,Juice WRLD,Juice WRLD,,,,,,,,,,Legends,Juice WRLD / Interscope PS,68,123,16,2009119,Autumn,October,1
127,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Bazzi,,,,,,,,,,Mine,iamcosmic,4,124,39,2005587,Autumn,October,1
