rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week,genre
157,spotify:track:6xcJyGpfZbuuiequtnlKt4,Travis Scott,BUTTERFLY EFFECT,Cactus Jack / Epic / Grand Hustle,9,156,84,1639189,Winter,January,14,Rap/HipHop
158,spotify:track:52okn5MNA47tk87PeZJLEL,NF,Let You Down,NF Real Music,11,162,64,1638345,Winter,January,14,Rap/HipHop
159,spotify:track:278kSqsZIiYp8p3QjYAqa8,Bad Bunny,NI BIEN NI MAL,Rimas Entertainment LLC,134,134,2,1633106,Winter,January,14,Urbano Latino
160,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,15,176,81,1625833,Winter,January,14,Pop
161,spotify:track:6vsV4D8BM6PioRr1UOx0n2,Billie Eilish,you should see me in a crown,Darkroom/Interscope Records,33,175,15,1623530,Winter,January,14,Alternative
162,spotify:track:3EikYy40GMSp8l5mDV6IQo,Ski Mask The Slump God,Foot Fungus,Republic Records,34,169,5,1608232,Winter,January,14,Rap/HipHop
163,spotify:track:4UKCKdYiLN6IMA5ZESUTL7,XXXTENTACION,the remedy for a broken heart (why am I so in love),"Bad Vibes Forever, LLC",18,157,38,1606494,Winter,January,14,Rap/HipHop
164,spotify:track:4m5Cd9kAbIxg6t9sMrQWtk,"6ix9ine, Lil Baby",TIC TOC,"Scumgang Records/TenThousand Projects, LLC",8,95,7,1604105,Winter,January,14,Rap/HipHop
165,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,21 Savage,Bank Account,"Slaughter Gang, LLC/Epic Records",1,163,74,1600459,Winter,January,14,Rap/HipHop
166,spotify:track:2QgfDF0fQ4sskDthP8MG5w,21 Savage,asmr,"Slaughter Gang, LLC/Epic Records",64,128,3,1598966,Winter,January,14,Rap/HipHop
167,spotify:track:50a8bKqlwDEqeiEknrzkTO,21 Savage,ball w/o you,"Slaughter Gang, LLC/Epic Records",71,132,3,1581642,Winter,January,14,Rap/HipHop
168,spotify:track:6j97zG4DDrh3oUa6rZbFOs,"Tory Lanez, Trippie Redd",FeRRis WhEEL (feat. Trippie Redd),Mad Love/Interscope Records,100,178,7,1575097,Winter,January,14,Rap/HipHop
169,spotify:track:6o79O9qBP3OAkWOXajAQIS,"6ix9ine, A Boogie Wit da Hoodie",WAKA,"Scumgang Records/TenThousand Projects, LLC",19,147,7,1572374,Winter,January,14,Rap/HipHop
170,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,"Lil Uzi Vert, Oh Wonder",The Way Life Goes (feat. Oh Wonder),Generation Now/Atlantic,8,184,67,1571271,Winter,January,14,Rap/HipHop
171,spotify:track:1a7WZZZH7LzyvorhpOJFTe,"Juice WRLD, Lil Uzi Vert",Wasted (feat. Lil Uzi Vert),Juice WRLD Mixtape / ISR P&D,20,143,26,1569897,Winter,January,14,Rap/HipHop
172,spotify:track:1f5cbQtDrykjarZVrShaDI,"A Boogie Wit da Hoodie, Kodak Black",Drowning (feat. Kodak Black),Highbridge The Label,21,174,69,1569060,Winter,January,14,Rap/HipHop
173,spotify:track:5PTG6rrL6EPFD9E2QMI2pl,Famous Dex,JAPAN,300 Entertainment,12,172,41,1567562,Winter,January,14,Rap/HipHop
174,spotify:track:0FQhAHyHGsrbSHvDURmFPn,Billie Eilish,my boy,Darkroom,173,196,4,1560756,Winter,January,14,Alternative
175,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,Queen,Don't Stop Me Now - Remastered 2011,Hollywood Records,112,153,6,1555862,Winter,January,14,Rock
176,spotify:track:1fCeXjoRExPP2qwSBh2aST,Juice WRLD,Black & White,Juice WRLD Mixtape / ISR P&D,128,152,28,1552373,Winter,January,14,Rap/HipHop
177,spotify:track:7K7MUBCnzgBAvMVW2RTWNs,"Loud Luxury, Brando",Body,Armada Music,26,165,20,1544668,Winter,January,14,Dance
178,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4,Billie Eilish,come out and play,Darkroom,14,189,7,1541741,Winter,January,14,Alternative
179,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,Kane Brown,Heaven,RCA Records Label Nashville,60,180,46,1539028,Winter,January,14,Country
180,spotify:track:2BJSMvOGABRxokHKB0OI8i,"Playboi Carti, Lil Uzi Vert",Shoota (feat. Lil Uzi Vert),AWGE Label,27,193,30,1538097,Winter,January,14,Rap/HipHop
181,spotify:track:3ZhTT6yjZwpPph5MIJ53XY,"Lil Skies, Landon Cube",Red Roses (feat. Landon Cube),All We Got Ent.,38,177,51,1527298,Winter,January,14,Rap/HipHop
182,spotify:track:3vWzyGTu6Ovo1GdrcJqH6e,"Lil Wayne, Ty Dolla $ign, XXXTENTACION",Scared of the Dark (feat. XXXTENTACION),Universal Records,133,183,3,1525812,Winter,January,14,Rap/HipHop
183,spotify:track:1rfofaqEpACxVEHIZBJe6W,"Camila Cabello, Young Thug",Havana (feat. Young Thug),Syco Music/Epic,2,139,68,1525458,Winter,January,14,Pop
184,spotify:track:6KBYefIoo7KydImq1uUQlL,Cardi B,Bodak Yellow,Atlantic/KSR,3,166,66,1503394,Winter,January,14,Rap/HipHop
185,spotify:track:5gQcxYXqnofyocKgEbGYKt,YBN Nahmir,Bounce Out With That,2018,30,195,45,1499157,Winter,January,14,Rap/HipHop
186,spotify:track:5nzhL67GpF9szXWg5y509A,Lil Baby,Close Friends (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",39,185,13,1497582,Winter,January,14,Rap/HipHop
187,spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Marshmello, Khalid",Silence,Joytime Collective/RCA Records,10,198,63,1490395,Winter,January,14,Dance
188,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,King Princess,1950,"Zelig Records, LLC./Columbia Records",72,-1,15,1485606,Winter,January,14,Pop
189,spotify:track:6IaieqiCVvsNvEt6Y7yOFa,"Post Malone, Nicki Minaj",Ball For Me (feat. Nicki Minaj),Republic Records,9,181,30,1481771,Winter,January,14,Rap/HipHop
190,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,Roc Nation Records LLC,65,-1,82,1477132,Winter,January,14,Rap/HipHop
191,spotify:track:0fAVi8b6VX6NgT4j1aRLdT,Mitchell Tenpenny,Drunk Me,Riser House Entertainment/Columbia Nashville,191,-1,1,1462815,Winter,January,14,Country
192,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,"The Chainsmokers, Winona Oak",Hope,Disruptor Records/Columbia,192,-1,1,1461934,Winter,January,14,Dance
193,spotify:track:3WefHNGtjexZvi66ZEx9u4,"Madison Beer, Offset",Hurts Like Hell (feat. Offset),Access Records,126,179,5,1460519,Winter,January,14,Pop
194,spotify:track:5tz69p7tJuGPeMGwNTxYuV,"Logic, Alessia Cara, Khalid",1-800-273-8255,Def Jam Recordings,1,-1,81,1456942,Winter,January,14,Rap/HipHop
195,spotify:track:14sOS5L36385FJ3OL8hew4,"Kygo, Sandro Cavazza",Happy Now,Kygo,54,182,8,1453843,Winter,January,14,Dance
196,spotify:track:0dSIrRkA4PadGll16TgbnV,"Famous Dex, A$AP Rocky",PICK IT UP (feat. A$AP Rocky),300 Entertainment,14,197,59,1451933,Winter,January,14,Rap/HipHop
197,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,4,167,78,1446507,Winter,January,14,Dance
198,spotify:track:698eQRku24PIYPQPHItKlA,Luke Combs,She Got the Best of Me,River House Artists/Columbia Nashville,163,-1,4,1434882,Winter,January,14,Country
199,spotify:track:5rFj8OzffT0iggSjcBaeND,Sam Smith,"Fire On Fire - From ""Watership Down""",Capitol,199,-1,1,1433563,Winter,January,14,Pop
200,spotify:track:1tT55K6VEyO6XFDxK4lDQe,Peter Manos,In My Head,Capitol Records,146,188,4,1432363,Winter,January,14,Alternative
1,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,Columbia,1,-1,1,20673623,Spring,April,27,Alternative
2,spotify:track:53CJANUxooaqGOtdsBTh7O,Lil Nas X,Old Town Road,Columbia,2,2,6,15186440,Spring,April,27,Alternative
3,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,1,1,2,13890824,Spring,April,27,Alternative
4,spotify:track:3KkXRkHbMCARz0aVfEt68P,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Universal Records,1,6,25,8696363,Spring,April,27,Rap/HipHop
5,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,wish you were gay,Darkroom/Interscope Records,3,3,6,8165235,Spring,April,27,Alternative
6,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD,"Dreamville, Inc., Under exclusive license to Roc Nation Records",1,9,12,7808654,Spring,April,27,Rap/HipHop
7,spotify:track:1wJRveJZLSb1rjhnUHQiv6,"A Boogie Wit da Hoodie, 6ix9ine",Swervin (feat. 6ix9ine),Highbridge the Label / Atlantic Records,7,12,16,7378430,Spring,April,27,Rap/HipHop
8,spotify:track:6TqXcAFInzjp0bODyvrWEq,"Khalid, Disclosure",Talk (feat. Disclosure),"Right Hand Music Group, LLC/RCA Records",8,28,9,7292412,Spring,April,27,R&B/Soul
9,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,"Khalid, John Mayer",Outta My Head (with John Mayer),"Right Hand Music Group, LLC/RCA Records",9,-1,1,7094716,Spring,April,27,R&B/Soul
10,spotify:track:6zeeWid2sgw4lap2jV61PZ,Khalid,Better,"Right Hand Music Group, LLC/RCA Records",9,40,30,6978918,Spring,April,27,R&B/Soul
11,spotify:track:6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow.,Republic Records,2,14,16,6948506,Spring,April,27,Rap/HipHop
12,spotify:track:4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend,Darkroom/Interscope Records,3,4,11,6887623,Spring,April,27,Alternative
13,spotify:track:2XKFnwB6djxrJCjR3PdeRb,Khalid,My Bad,"Right Hand Music Group, LLC/RCA Records",13,38,5,6679962,Spring,April,27,R&B/Soul
14,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,Murder On My Mind,P2018,4,13,29,6618213,Spring,April,27,Rap/HipHop
15,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"Meek Mill, Drake",Going Bad (feat. Drake),MMG/Atlantic,2,16,19,6523365,Spring,April,27,Rap/HipHop
16,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,1,15,12,6439592,Spring,April,27,Pop
17,spotify:track:4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,Sucker,Jonas Brothers Recording,1,19,6,6385996,Spring,April,27,Pop
18,spotify:track:43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over,Darkroom/Interscope Records,5,5,26,6176551,Spring,April,27,Alternative
19,spotify:track:6tsOcBnaKgzK22yEiqRh8P,"Ariana Grande, Victoria Mon‚t",MONOPOLY (with Victoria Mon‚t),Republic Records,19,52,2,5512870,Spring,April,27,Rap/HipHop
20,spotify:track:63cd4JkwGgYJrbOizbfmsp,"Mustard, Migos",Pure Water (with Migos),10 Summers Records/Interscope Records,13,25,12,5453259,Spring,April,27,Rap/HipHop
21,spotify:track:6vWEAOUSxohKxhp0K1BsxL,"YNW Melly, Kanye West",Mixed Personalities (feat. Kanye West),P2019,12,24,12,5324871,Spring,April,27,Rap/HipHop
22,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,Grade A Productions/Interscope Records,3,22,8,5229177,Spring,April,27,Rap/HipHop
23,spotify:track:5kfNriitmkNE8mUbZ7gbq8,Khalid,Saturday Nights,"Right Hand Music Group, LLC/RCA Records",14,55,24,5131881,Spring,April,27,R&B/Soul
24,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,"break up with your girlfriend, i'm bored",Republic Records,1,21,9,5080706,Spring,April,27,Pop
25,spotify:track:3Tc57t9l2O8FwQZtQOvPXK,Billie Eilish,my strange addiction,Darkroom/Interscope Records,10,10,2,5076956,Spring,April,27,Alternative
26,spotify:track:4QIo4oxwzzafcBWkKjDpXY,Billie Eilish,xanny,Darkroom/Interscope Records,7,7,2,4998364,Spring,April,27,Alternative
27,spotify:track:3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,you should see me in a crown,Darkroom/Interscope Records,11,11,24,4973748,Spring,April,27,Alternative
28,spotify:track:1E6DEDWDKHoOW0fcFuDghV,"Khalid, SAFE",Don't Pretend (feat. SAFE),"Right Hand Music Group, LLC/RCA Records",28,-1,1,4973336,Spring,April,27,R&B/Soul
29,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,all the good girls go to hell,Darkroom/Interscope Records,8,8,2,4909126,Spring,April,27,Alternative
30,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,Kill This Love,"YG Entertainment, distributed through Interscope Records",30,-1,1,4767088,Spring,April,27,K-pop
31,spotify:track:2t8yVaLvJ0RenpXUIAC52d,21 Savage,a lot,"Slaughter Gang, LLC/Epic Records",7,26,16,4644463,Spring,April,27,Rap/HipHop
32,spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,27,30,4620959,Spring,April,27,Rap/HipHop
33,spotify:track:6ya8ejoKgw906Y8LWclqrp,"Nipsey Hussle, Roddy Ricch, Hit-Boy",Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Atlantic Records,33,58,2,4493543,Spring,April,27,Rap/HipHop
34,spotify:track:3QmolSZqjjLksTUvZJ6pPS,Jonas Brothers,Cool,Jonas Brothers Recording,34,-1,1,4324557,Spring,April,27,Pop
35,spotify:track:1ThmUihH9dF8EV08ku5AXN,Ski Mask The Slump God,Faucet Failure,Republic Records,29,30,18,4207689,Spring,April,27,Rap/HipHop
36,spotify:track:2vsuel3g4zaLYSOY0mOMbi,Khalid,Bad Luck,"Right Hand Music Group, LLC/RCA Records",36,-1,1,4146097,Spring,April,27,R&B/Soul
37,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It,Highbridge the Label / Atlantic Records,9,35,18,4039101,Spring,April,27,Rap/HipHop
38,spotify:track:05t7JMip6JrLuSrMV5yYjX,Calboy,Envy Me,Polo Grounds Music/RCA Records,37,37,15,4015447,Spring,April,27,Rap/HipHop
39,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Capitol Records,5,34,27,3987874,Spring,April,27,Pop
40,spotify:track:1NJcg626wLln4pGHpiV7mf,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,41,51,3971050,Spring,April,27,Alternative
41,spotify:track:2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,2018,41,51,13,3949567,Spring,April,27,Pop
42,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,Cactus Jack / Epic / Grand Hustle,1,32,36,3945982,Spring,April,27,Rap/HipHop
43,spotify:track:5A1w94uzc1kO1Zhe8WWxC3,Khalid,Right Back,"Right Hand Music Group, LLC/RCA Records",43,-1,1,3945373,Spring,April,27,R&B/Soul
44,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,Astralwerks,8,36,34,3937560,Spring,April,27,Dance
45,spotify:track:6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you,Darkroom/Interscope Records,17,17,2,3880613,Spring,April,27,Alternative
46,spotify:track:3oh6SCCeLuXhFpEyepla6G,Blueface,Thotiana,Fifth Amendment Entertainment/eOne Music,9,31,14,3863457,Spring,April,27,Rap/HipHop
47,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",Republic Records,1,33,23,3836034,Spring,April,27,Pop
48,spotify:track:5icOoE6VgqFKohjWWNp0Ac,"Marshmello, CHVRCHES",Here With Me,Marshmello/Republic,16,39,5,3818561,Spring,April,27,Dance
49,spotify:track:2kAIpGWnlFLQh48iut6Zzq,Khalid,Free Spirit,"Right Hand Music Group, LLC/RCA Records",49,-1,1,3784529,Spring,April,27,R&B/Soul
50,spotify:track:7qEKqBCD2vE5vIBsrUitpD,Billie Eilish,ilomilo,Darkroom/Interscope Records,18,18,2,3757979,Spring,April,27,Alternative
51,spotify:track:7FGq80cy8juXBCD2nrqdWU,"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),Friends Keep Secrets/Interscope Records,10,46,39,3639599,Spring,April,27,Pop
52,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,42,49,3576569,Spring,April,27,Rap/HipHop
53,spotify:track:0tMSssfxAL2oV8Vri0mFHE,Billie Eilish,listen before i go,Darkroom/Interscope Records,20,20,2,3545319,Spring,April,27,Alternative
54,spotify:track:7njKgVl3AnLflRad38o7AG,Bazzi,Paradise,iamcosmic,54,-1,1,3510962,Spring,April,27,Pop
55,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,"Sam Smith, Normani",Dancing With A Stranger (with Normani),Capitol,12,43,13,3406610,Spring,April,27,Pop
56,spotify:track:5BfMJ6iytQnu1r7iiCYSXe,Khalid,Intro,"Right Hand Music Group, LLC/RCA Records",56,-1,1,3381544,Spring,April,27,R&B/Soul
57,spotify:track:0HEckRWFSknIupbGzavk5d,Khalid,Hundred,"Right Hand Music Group, LLC/RCA Records",57,-1,1,3359118,Spring,April,27,R&B/Soul
58,spotify:track:1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,1,49,37,3353220,Spring,April,27,Rap/HipHop
59,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,10,48,28,3336838,Spring,April,27,Pop
60,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,Republic Records,1,50,50,3333363,Spring,April,27,Rap/HipHop
61,spotify:track:0PG9fbaaHFHfre2gUVo7AN,"Cardi B, Bruno Mars",Please Me,Atlantic/KSR,15,44,8,3331291,Spring,April,27,Rap/HipHop
62,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,Lil Skies,I,All We Got Ent.,16,45,6,3210807,Spring,April,27,Rap/HipHop
63,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,"Kodak Black, Offset, Travis Scott",ZEZE (feat. Travis Scott & Offset),Atlantic Records,1,47,26,3170310,Spring,April,27,Rap/HipHop
64,spotify:track:6X29iaaazwho3ab7GNue5r,Billie Eilish,8,Darkroom/Interscope Records,23,23,2,3159641,Spring,April,27,Alternative
65,spotify:track:6fOOKqQWcSy33ApU1wqkkW,Khalid,Paradise,"Right Hand Music Group, LLC/RCA Records",65,-1,1,3159605,Spring,April,27,R&B/Soul
66,spotify:track:1WqLtczgKdbHFHhefOU0y7,Khalid,Self,"Right Hand Music Group, LLC/RCA Records",66,75,2,3151953,Spring,April,27,R&B/Soul
67,spotify:track:1NgCWYuBLfqBDA3b8MgSVU,Khalid,Twenty One,"Right Hand Music Group, LLC/RCA Records",67,-1,1,3082816,Spring,April,27,R&B/Soul
68,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,"Bad Vibes Forever, LLC",1,54,58,3048819,Spring,April,27,Rap/HipHop
69,spotify:track:7COXchtUOMd6uIT6HvmRaI,"Lauv, Troye Sivan",i'm so tired...,Lauv,23,56,11,2969044,Spring,April,27,Pop
70,spotify:track:2rxQMGVafnNaRaXlRMWPde,Luke Combs,Beautiful Crazy,River House Artists/Columbia Nashville,66,66,41,2916199,Spring,April,27,Country
71,spotify:track:3KLo7ByvjCNyBrfz5DZ2mO,Rich The Kid,Splashin,Interscope Records,27,53,17,2889829,Spring,April,27,Rap/HipHop
72,spotify:track:14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,Leave Me Alone,Cinematic/Epic/We The Best,10,61,35,2869715,Spring,April,27,Rap/HipHop
73,spotify:track:5WHTFyqSii0lmT9R21abT8,Mabel,Don't Call Me Up,Polydor Records,69,71,9,2849382,Spring,April,27,Pop
74,spotify:track:2G1tXoGBaEMJ7FKGnkf6ud,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up in the Sky,Guwop Enterprises/Atlantic,6,57,30,2828477,Spring,April,27,Rap/HipHop
75,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,"Bad Vibes Forever, LLC",3,60,56,2769426,Spring,April,27,Rap/HipHop
76,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,DCD2 / Fueled By Ramen,13,67,43,2756073,Spring,April,27,Alternative
77,spotify:track:3npzogdOEiVsieXmmhBepL,Maren Morris,The Bones,Columbia Nashville,60,68,5,2739293,Spring,April,27,Country
78,spotify:track:5wujBwqG7INdStqGd4tRMX,Juice WRLD,Armed And Dangerous,Juice WRLD Mixtape / ISR P&D,9,63,22,2701791,Spring,April,27,Rap/HipHop
79,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),Republic Records,1,73,82,2682201,Spring,April,27,Rap/HipHop
80,spotify:track:42w7pX3r1TpLR0i55Ek5ND,Khalid,Bluffin',"Right Hand Music Group, LLC/RCA Records",80,-1,1,2664734,Spring,April,27,R&B/Soul
81,spotify:track:2GGMabyHXnJmjY6CXhhB2e,Cardi B,Money,Atlantic/KSR,17,64,25,2649085,Spring,April,27,Rap/HipHop
82,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,Atlantic Records,36,76,27,2609033,Spring,April,27,Pop
83,spotify:track:1fewSx2d5KIZ04wsooEBOz,"Metro Boomin, Gunna",Space Cadet (feat. Gunna),Republic Records,20,72,23,2564532,Spring,April,27,Rap/HipHop
84,spotify:track:40T5GIqQ1CegGm2PTEl8Bu,Billie Eilish,idontwannabeyouanymore,Darkroom,48,62,39,2525249,Spring,April,27,Alternative
85,spotify:track:5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow",Con Calma,El Cartel Records (EC3),45,69,9,2489717,Spring,April,27,Urbano Latino
86,spotify:track:12VqHHz4wvVcnEdSivjLeQ,Khalid,Alive,"Right Hand Music Group, LLC/RCA Records",86,-1,1,2486612,Spring,April,27,R&B/Soul
87,spotify:track:2H4gf1wLxvYreMj1jcaN0k,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,31,80,37,2485739,Spring,April,27,Singer/Songwriter
88,spotify:track:3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,Sanguine Paradise,Generation Now/Atlantic,88,-1,1,2434075,Spring,April,27,Rap/HipHop
89,spotify:track:13ZyrkCDmRz5xY3seuAWYk,Juice WRLD,Hear Me Calling,Grade A Productions/Interscope Records,16,65,6,2431218,Spring,April,27,Rap/HipHop
90,spotify:track:5AjINjwKyRvQJhSe2zpPHi,"Polo G, Lil Tjay",Pop Out (feat. Lil Tjay),Columbia,86,86,3,2424030,Spring,April,27,Rap/HipHop
91,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,3,81,85,2420263,Spring,April,27,Rap/HipHop
92,spotify:track:577YBGuskWkVDCxZrLRB4v,Lil Baby,Pure Cocaine,Quality Control Music/Motown Records/Capitol Records,52,70,19,2397199,Spring,April,27,Rap/HipHop
93,spotify:track:3A2yGHWIzmGEIolwonU69h,City Girls,Act Up,Quality Control Music/Motown Records,87,87,6,2390220,Spring,April,27,Rap/HipHop
94,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA (feat. Drake),OVO Sound/Warner Records,2,84,26,2386266,Spring,April,27,Latin
95,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,Universal Records,2,93,82,2374967,Spring,April,27,Rap/HipHop
96,spotify:track:0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,Freaky,Mad Love/Interscope Records,79,79,4,2372291,Spring,April,27,Rap/HipHop
97,spotify:track:0fcq51a3gOI6gPvzc0YLsk,"Post Malone, Roddy Ricch, Tyga",Wow. - Remix,Republic Records,75,82,4,2353762,Spring,April,27,Rap/HipHop
98,spotify:track:5IaHrVsrferBYDm0bDyABy,"Tyga, Offset",Taste (feat. Offset),Last Kings Music / EMPIRE,4,94,47,2347962,Spring,April,27,Rap/HipHop
99,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop,Cash Money/Drake LP6,1,88,41,2342389,Spring,April,27,Rap/HipHop
100,spotify:track:3LgWsmilsrWXiPYQFRD0T7,Billie Eilish,goodbye,Darkroom/Interscope Records,29,29,2,2342287,Spring,April,27,Alternative
101,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Psycho (feat. Ty Dolla $ign),Republic Records,2,95,59,2338976,Spring,April,27,Rap/HipHop
102,spotify:track:0Hgqglypzt6Qs5Duqskcqs,Khalid,Heaven,"Right Hand Music Group, LLC/RCA Records",102,-1,1,2334364,Spring,April,27,R&B/Soul
103,spotify:track:4hqOmrCCJKyiuwDexd8c2t,"NAV, The Weeknd",Price On My Head (feat. The Weeknd),"XO Records, LLC and Republic Records",42,77,3,2307566,Spring,April,27,Rap/HipHop
104,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Yes Indeed,"Quality Control Music, LLC",2,98,48,2300132,Spring,April,27,Rap/HipHop
105,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,Hollywood Records,42,90,24,2298894,Spring,April,27,Rock
106,spotify:track:6eiztdXRkooWsBt2xToMWI,Juice WRLD,Make Believe,Grade A Productions/Interscope Records,24,74,5,2279409,Spring,April,27,Rap/HipHop
107,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,88rising Music/Warner Records,29,92,29,2274107,Spring,April,27,R&B/Soul
108,spotify:track:2uIX8YMNjGMD7441kqyyNU,Billie Eilish,ocean eyes,Darkroom,78,83,42,2236393,Spring,April,27,Alternative
109,spotify:track:7pMRoGLEJuFM2wl5pt0R99,"Offset, Travis Scott, 21 Savage",Legacy (feat. Travis Scott & 21 Savage),Quality Control Music/Motown Records,19,106,7,2235753,Spring,April,27,Rap/HipHop
110,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",I Like It,Atlantic/KSR,3,102,53,2231363,Spring,April,27,Rap/HipHop
111,spotify:track:0jAfdqv18goRTUxm3ilRjb,"A Boogie Wit da Hoodie, Tyga, Offset",Startender (feat. Offset and Tyga),Highbridge the Label / Atlantic Records,17,85,17,2221886,Spring,April,27,Rap/HipHop
112,spotify:track:7ql71hBakyMi0Lxiq3Mugs,"The Chainsmokers, 5 Seconds of Summer",Who Do You Love,Disruptor Records/Columbia,33,96,9,2203135,Spring,April,27,Dance
113,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,17,105,52,2194510,Spring,April,27,Rap/HipHop
114,spotify:track:6JQvHMSaR8flFsN53ypOfP,Lil Mosey,Noticed,Mogul Vision/Interscope Records,20,100,34,2183965,Spring,April,27,Rap/HipHop
